,generic,laundering
conviction,0.020361990950226252,0.17073170731707318
corruption,0.004524886877828056,0.14634146341463405
could,0.4230769230769233,0.29999999999999977
count,0.054298642533936674,0.19268292682926821
count money,0.002262443438914028,0.06585365853658534
court,0.08597285067873305,0.6121951219512191
credit,0.3076923076923079,0.14146341463414625
cricket,0.009049773755656113,0.12195121951219506
crime,0.0995475113122172,0.48536585365853635
crimes,0.006787330316742085,0.07560975609756095
criminal,0.03846153846153848,0.36097560975609727
current,0.25791855203619923,0.10487804878048776
custody,0.01131221719457014,0.1317073170731707
data,0.4638009049773758,0.2560975609756096
death,0.0995475113122172,0.22682926829268293
debt,0.17194570135746612,0.06585365853658534
defendant,0.006787330316742085,0.14634146341463405
defraud,0.002262443438914028,0.08048780487804875
democratic,0.13800904977375572,0.053658536585365846
democrats,0.09049773755656111,0.024390243902439022
deny,0.027149321266968333,0.13658536585365855
department justice,0.004524886877828056,0.08780487804878045
difference,0.18552036199095032,0.034146341463414616
directorate,0.006787330316742085,0.06585365853658534
district,0.06334841628959277,0.24146341463414622
district judge,0.004524886877828056,0.07317073170731705
document,0.04751131221719458,0.1853658536585365
drug,0.03619909502262444,0.173170731707317
earn,0.1787330316742082,0.060975609756097525
endorse,0.07692307692307696,0.017073170731707315
energy,0.22171945701357482,0.09756097560975606
enforcement,0.056561085972850686,0.22195121951219499
enforcement directorate,0.002262443438914028,0.06341463414634145
entertainment,0.1493212669683258,0.31463414634146325
entertainment lifestyle,0.002262443438914028,0.02682926829268292
equity,0.15384615384615394,0.04878048780487802
especially,0.15610859728506796,0.02926829268292682
even,0.40045248868778277,0.24878048780487785
example,0.158371040723982,0.053658536585365846
expect,0.27601809954751144,0.14390243902439023
factor,0.17194570135746612,0.03170731707317072
facts,0.04751131221719458,0.01219512195121951
fall,0.24886877828054313,0.10731707317073165
federal reserve,0.14479638009049772,0.01951219512195121
file,0.14705882352941177,0.29756097560975603
finance financial,0.07239819004524889,0.0024390243902439016
financial,0.44796380090497745,0.319512195121951
financial news,0.09276018099547516,0.01219512195121951
fine,0.03393665158371042,0.12439024390243897
football,0.054298642533936674,0.18292682926829257
forecast,0.21040723981900467,0.053658536585365846
forecast national,0.07918552036199096,0.0024390243902439016
forecast weather,0.09049773755656111,0.009756097560975608
forecast weekend,0.081447963800905,0.0024390243902439016
foreseeable,0.024886877828054307,0.004878048780487803
former,0.11990950226244348,0.4097560975609754
former chief,0.004524886877828056,0.051219512195121934
found guilty,0.01131221719457014,0.09512195121951215
fraud,0.03846153846153848,0.3414634146341461
fraud money,0.002262443438914028,0.12439024390243897
fraudulent,0.006787330316742085,0.08048780487804875
funds,0.1945701357466063,0.05609756097560974
future,0.27601809954751144,0.14634146341463405
good,0.3393665158371041,0.19999999999999998
grow,0.2081447963800906,0.06585365853658534
guilty,0.02262443438914028,0.28292682926829255
help subscriptions,0.04977375565610862,0.0024390243902439016
high,0.4638009049773758,0.37073170731707306
high court,0.002262443438914028,0.11951219512195116
hill,0.081447963800905,0.034146341463414616
home,0.5180995475113125,0.6634146341463415
home news,0.056561085972850686,0.16585365853658535
hourly forecast,0.081447963800905,0.004878048780487803
hurricane,0.11764705882352947,0.02682926829268292
icon,0.1515837104072398,0.03658536585365852
illegal,0.018099547511312212,0.14634146341463405
impact,0.22398190045248872,0.09268292682926825
imprisonment,0.002262443438914028,0.08536585365853654
income,0.1493212669683258,0.04390243902439022
increase,0.26696832579185537,0.10975609756097555
index,0.18099547511312214,0.03902439024390242
index site,0.04977375565610862,0.0024390243902439016
indictment,0.02262443438914028,0.12195121951219506
inflation,0.14027149321266974,0.02926829268292682
information navigation,0.04977375565610862,0.0024390243902439016
infrastructure,0.15384615384615394,0.03902439024390242
innovative,0.04072398190045249,0.007317073170731707
interest rate,0.14253393665158373,0.007317073170731707
international help,0.04977375565610862,0.004878048780487803
invest,0.2398190045248869,0.09512195121951215
investigate,0.06108597285067875,0.1756097560975609
investigation,0.04524886877828055,0.375609756097561
investing,0.15384615384615394,0.03170731707317072
investment,0.30316742081447967,0.11951219512195116
investor,0.26244343891402716,0.07560975609756095
involve,0.10407239819004528,0.2682926829268293
jail,0.01131221719457014,0.23170731707317063
jail sentence,0.002262443438914028,0.06585365853658534
judge,0.06108597285067875,0.3512195121951219
jury,0.015837104072398196,0.10731707317073165
justice,0.08371040723981901,0.31463414634146325
large,0.34389140271493224,0.22682926829268293
largely,0.08597285067873305,0.024390243902439022
launder,0.002262443438914028,0.11951219512195116
laundering,0.009049773755656113,0.7926829268292679
laundering case,0.002262443438914028,0.07804878048780485
laundering charge,0.002262443438914028,0.1292682926829268
lawmaker,0.10180995475113123,0.04390243902439022
lawyer,0.03167420814479638,0.18292682926829257
legal,0.2081447963800906,0.3487804878048778
level,0.22624434389140288,0.07804878048780485
lifestyle,0.10633484162895929,0.24634146341463412
likely,0.24660633484162897,0.09512195121951215
liquidity,0.11990950226244348,0.007317073170731707
loans,0.13122171945701358,0.034146341463414616
look,0.34162895927601816,0.19999999999999998
low,0.18778280542986436,0.04878048780487802
mail,0.020361990950226252,0.10487804878048776
main story,0.04977375565610862,0.0024390243902439016
majority,0.10180995475113123,0.03170731707317072
make money,0.09276018099547516,0.014634146341463402
many,0.35067873303167435,0.22439024390243897
market,0.45022624434389147,0.19512195121951204
market fund,0.16968325791855202,0.004878048780487803
measure,0.16968325791855202,0.09024390243902435
media,0.3733031674208145,0.2804878048780487
member congress,0.04977375565610862,0.007317073170731707
member house,0.024886877828054307,0.0024390243902439016
middle,0.27601809954751144,0.09999999999999998
middle east,0.23755656108597284,0.09512195121951215
might,0.24886877828054313,0.10731707317073165
million,0.24434389140271506,0.4219512195121951
minister,0.024886877828054307,0.16341463414634136
ministry,0.01131221719457014,0.10243902439024388
money,0.49547511312217213,0.834146341463414
money laundering,0.002262443438914028,0.768292682926829
money market,0.29411764705882354,0.007317073170731707
monthly,0.18778280542986436,0.034146341463414616
mortgage,0.14027149321266974,0.024390243902439022
mortgages,0.11085972850678734,0.014634146341463402
mostly,0.0995475113122172,0.034146341463414616
motoring,0.004524886877828056,0.09756097560975606
much,0.3461538461538462,0.13658536585365855
murder,0.024886877828054307,0.12195121951219506
